日期,产品名称,单位,数量,单价,金额,送货单号
2024-06-21,001铁壳,只,336.0,3.8,1276.8,7654
2024-06-21,13373B点焊支架,只,12000.0,0.9,10800,
2024-06-21,宝德支架内外 通孔,套,15000.0,0.82,12300,
2024-06-22,001铁壳,只,3767.0,3.8,14314.599999999999,7655
2024-06-22,16510AD点焊支架,只,8920.0,1.45,12934,
2024-06-27,018支架,只,3920.0,1.1,4312,
2024-06-29,16510A点焊支架,套,3240.0,1.45,4698,7657
2024-06-29,AB410支架,只,9640.0,0.88,8483.2,
2024-06-29,安EX支架,只,7900.0,1.0,7900,
2024-06-29,安EX导磁环,只,15800.0,0.18,2844,
2024-06-29,AB410导磁环平,只,9640.0,0.11,1060.4,
2024-06-29,AB410导磁环凸,只,6600.0,0.11,726,
2024-06-29,AB410盖板组件,只,3700.0,0.25,925,8658
2024-06-29,13373B点焊支架,只,8000.0,0.9,7200,
2024-06-29,,,,,258148.7,
2024-07-01,紫铜插针,只,4830.0,0.4,1932,7659
2024-07-01,13373B引线支架,套,7000.0,0.8,5600,
2024-07-01,0545内外支架+导磁环+锚,套,3600.0,1.95,7020,
2024-07-05,13373B引线支架,只,7000.0,0.8,5600,7660
2024-07-05,13373B点焊支架,只,8720.0,0.9,7848,
2024-07-05,16510B点焊支架,只,8000.0,1.45,11600,
2024-07-06,14510点焊支架,只,8000.0,1.45,11600,
2024-07-08,0545内外支架+导磁环+锚,套,3460.0,1.95,6747,7661
2024-07-08,16510B点焊支架,套,8970.0,1.45,13006.5,
2024-07-08,1033支架插脚,套,2000.0,0.87,1740,
2024-07-11,AB410接地脚2.5,只,10000.0,0.1,1000,7662
2024-07-11,13373B点焊支架,套,6000.0,0.9,5400,
2024-07-11,16510A点焊支架,套,10000.0,1.45,14500,
2024-07-11,面板插脚,只,47500.0,0.073,3467.5,
2024-07-17,紫铜插针,只,11950.0,0.4,4780,7663
2024-07-17,面板插脚,只,200000.0,0.073,14599.999999999998,
2024-07-17,002铁壳+上下盖板,套,7887.0,2.3,18140.1,
2024-07-17,DMF支架,套,500.0,0.85,425,
2024-07-17,1033支架,套,300.0,0.87,261,
2024-07-19,13373B点焊支架,套,10000.0,0.9,9000,7665
2024-07-19,13373B点焊支架,套,8000.0,0.9,7200,
2024-07-19,13373B引线支架,套,10000.0,0.8,8000,
2024-07-19,16510A点焊支架,套,3440.0,1.45,4988,
2024-07-19,DMF支架,套,4920.0,0.85,4182,
2024-07-22,018支架,只,4600.0,1.1,5060,76666
2024-07-22,018支架,只,20000.0,1.1,22000,
2024-07-22,安EX支架,只,6650.0,1.0,6650,
2024-07-22,安EX导磁环,只,13000.0,0.18,2340,
2024-07-27,16510A点焊支架,套,10000.0,1.45,14500,7667
2024-07-27,13373B点焊支架,套,14400.0,0.9,12960,
2024-07-31,CY123支架插脚,套,5000.0,1.1,5500,7668
2024-07-31,安EX支架,只,10500.0,1.0,10500,
2024-07-31,0545内外支架+导磁环+锚,套,5400.0,1.95,10530,
2024-07-31,,,,,258677.1,
2024-08-05,AB410支架,只,10000.0,0.88,8800,7669
2024-08-05,安EX支架,只,4320.0,1.0,4320,
2024-08-05,安EX导磁环,只,8640.0,0.18,1555.2,
2024-08-05,AB410平导磁环,只,10000.0,0.11,1100,
2024-08-05,018支架,只,5660.0,1.1,6226.000000000001,
2024-08-05,13373B点焊支架,只,16000.0,0.9,14400,7670
2024-08-07,13373B点焊支架,套,11000.0,0.9,9900,7521
2024-08-15,13373B点焊支架,套,12000.0,0.9,10800,7522
2024-08-15,16510A点焊支架,套,10000.0,1.45,14500,
2024-08-17,16510A点焊支架,套,8000.0,1.45,11600,7523
2024-08-17,防爆铜压板,只,33700.0,0.28,9436,
2024-08-22,018接地脚,只,20000.0,,0,7524
2024-08-22,16510B点焊支架,套,2000.0,1.35,2700,
2024-08-22,AB410支架组件,套,3500.0,1.13,3954.9999999999995,
2024-08-23,16510B点焊支架,套,5200.0,1.35,7020.000000000001,7525
2024-08-23,13373B引线支架,套,12000.0,0.8,9600,
2024-08-23,AB410支架组件,套,2000.0,1.13,2260,
2024-08-26,0545内外支架,套,4450.0,1.9,8455,7526
2024-08-26,16510B点焊支架,套,5570.0,1.35,7519.500000000001,
2024-08-28,13373B点焊支架,套,12000.0,0.9,10800,7527
2024-08-28,AB410导磁环凸,只,20000.0,0.11,2200,
2024-08-28,16510A点焊支架,只,10000.0,1.45,14500,
2024-08-31,13373B点焊支架,只,12000.0,0.9,10800,
2024-08-31,,,,,172446.7,
2024-09-02,安EX支架,只,12140.0,1.0,12140,7529
2024-09-02,安EX导磁环,只,30000.0,0.18,5400,
2024-09-04,16510B点焊支架,套,6000.0,1.35,8100.000000000001,7530
2024-09-04,13373B点焊支架,套,10000.0,0.9,9000,
2024-09-06,16510B点焊支架,套,10000.0,1.35,13500,7531
2024-09-10,安EX支架,只,11700.0,1.0,11700,7532
2024-09-10,安EX导磁环,只,30000.0,0.18,5400,
2024-09-10,宝德支架内外大小孔,套,5870.0,0.82,4813.4,
2024-09-10,宝德支架通孔内外,套,1000.0,0.82,820,
2024-09-10,1033支架,套,4000.0,0.87,3480,
2024-09-13,13373B点焊支架,套,16000.0,0.9,14400,7533
2024-09-13,13373引线支架,套,15000.0,0.8,12000,
2024-09-13,16510B点焊支架,套,8000.0,1.35,10800,7534
2024-09-14,3.2MM纯铁支架,只,440.0,1.2,528,7535
2024-09-20,13373B点焊支架,套,14400.0,0.9,12960,7536
2024-09-20,0545纯铁支架内外,套,3030.0,1.9,5757,
2024-09-21,16510A点焊支架,套,10000.0,1.45,14500,7537
2024-09-21,宝德通孔支架,套,8000.0,0.82,6560,
2024-09-21,16510B点焊支架,套,8000.0,1.35,10800,7538
2024-09-21,1033支架,只,350.0,0.87,304.5,
2024-09-26,面板插脚,只,50000.0,0.073,3649.9999999999995,7539
2024-09-27,13373B点焊支架,套,10000.0,0.9,9000,7540
2024-09-27,DMF支架,套,4000.0,0.85,3400,
2024-09-27,面板插脚,只,70000.0,0.073,5110,
2024-09-27,001铁壳,只,4030.0,3.8,15314,7541
2024-09-28,16510B点焊支架,套,10000.0,1.35,13500,7542
2024-09-29,安EX支架,只,15000.0,1.0,15000,7543
2024-09-29,安EX导磁环,只,30000.0,0.18,5400,
2024-09-29,AB410支架组件,套,2860.0,1.13,3231.7999999999997,
2024-09-29,DMF支架,套,4000.0,0.85,3400,
2024-09-29,13373B点焊支架,套,12000.0,0.9,10800,
2024-09-29,,,,,250768.69999999998,
2024-10-05,DMF支架,套,2550.0,0.85,2167.5,7544
2024-10-05,13373B点焊支架,套,15000.0,0.9,13500,
2024-10-05,面板插脚,只,69700.0,0.073,5088.099999999999,
2024-10-05,16510B点焊支架,套,5550.0,1.35,7492.500000000001,
2024-10-02,16510A支架,套,14400.0,1.45,20880,7545
2024-10-02,002铁壳+上下垫片,套,10040.0,2.3,23092,
2024-10-09,宝德大小孔支架,套,13800.0,0.82,11316,7546
2024-10-09,紫铜插针,只,7800.0,0.4,3120,
2024-10-10,13373B点焊支架,套,7700.0,0.9,6930,7547
2024-10-10,AB410支架组件,套,3500.0,1.13,3954.9999999999995,
2024-10-12,13373引线支架,套,15000.0,0.8,12000,7548
2024-10-13,0545内外支架,套,1000.0,1.7,付现金,7549
2024-10-16,13373B点焊支架,套,12000.0,0.9,10800,7550
2024-10-16,3.2纯铁宝德支架,套,4700.0,1.2,5640,
2024-10-21,AB410接地脚,只,20000.0,0.1,2000,7341
2024-10-23,210接地脚,只,2500.0,0.1,250,7342
2024-10-23,0545内外彩锌支架,套,6000.0,1.9,11400,
2024-10-24,13373B点焊支架,套,16000.0,0.9,14400,7343
2024-10-24,16510B点焊支架,套,10000.0,1.35,13500,
2024-10-26,新CY123防爆支架,只,2000.0,1.1,2200,7344
2024-10-26,13373B点焊支架,只,7200.0,0.9,6480,
2024-10-26,018接地脚,只,20000.0,0.1,2000,
2024-10-28,面板插脚,只,60000.0,0.073,4380,7345
2024-10-28,,,,,182591.1,
2024-11-02,018支架+接地脚,套,10000.0,1.1,11000,7346
2024-11-02,宝德支架内外,套,10000.0,0.82,8200,
2024-11-02,0545内外支架,套,3000.0,1.9,补,
2024-11-04,13373B点焊支架,套,12000.0,0.9,10800,7347
2024-11-04,AB410支架组件,套,3000.0,1.13,3389.9999999999995,
2024-11-06,面板插脚,只,60000.0,0.073,4380,7348
2024-11-08,AB410支架组件,套,6000.0,1.13,6779.999999999999,7349
2024-11-08,面板插脚,只,70000.0,0.073,5110,
2024-11-08,紫铜插针,只,5250.0,0.4,2100,7350
2024-11-11,0545内外彩锌支架,套,3000.0,1.9,补,7351
2024-11-11,018支架,只,10000.0,1.1,11000,
2024-11-11,13373B点焊支架,套,16000.0,0.9,14400,
2024-11-11,13373B点焊支架,套,11200.0,0.9,10080,7352
2024-11-11,16510A点焊支架,套,3485.0,1.45,5053.25,
2024-11-11,ZBD插片,只,4000.0,0.15,600,
2024-11-19,16510B点焊支架,套,20000.0,1.35,27000,7353
2024-11-21,13373B点焊支架,套,16000.0,0.9,14400,7354
2024-11-21,安EX支架,只,5500.0,1.0,5500,
2024-11-21,安EX导磁环,只,20000.0,0.18,3600,
2024-11-23,13373B引线支架,套,10000.0,0.8,8000,7355
2024-11-23,安EX支架,只,10800.0,1.0,10800,
2024-11-23,安EX导磁环,只,12000.0,0.18,2160,
2024-11-23,1033支架,套,3000.0,0.87,2610,
2024-11-25,面板插脚,只,70000.0,0.073,5110,7356
2024-11-29,13373B点焊支架,套,16000.0,0.9,14400,7357
2024-11-29,面板插脚,只,30000.0,0.073,2190,
2024-11-29,,,,,188663.25,
2024-12-05,13373B点焊支架,套,20000.0,0.9,18000,7358
2024-12-05,面板插脚,只,350000.0,0.073,25550,
2024-12-09,13373B引线支架,套,15000.0,0.8,12000,7359
2024-12-14,13373B点焊支架,套,20000.0,0.9,18000,
2024-12-14,3.2纯铁宝德支架,只,6600.0,1.2,7920,7360
2024-12-14,安EX四孔支架,只,5330.0,1.2,6396,
2024-12-14,安EX导磁环,只,11000.0,0.18,1980,
2024-12-14,DMF支架,套,7500.0,0.85,6375,7361
2024-12-19,13373B点焊支架,套,20000.0,0.9,18000,7362
2024-12-23,13373B引线支架,套,20000.0,0.8,16000,7363
2024-12-23,13373B点焊支架,套,12000.0,0.9,10800,
2024-12-23,16510B点焊支架,套,7600.0,1.35,10260,
2024-12-28,13373B点焊支架,套,20000.0,0.9,18000,7364
2024-12-28,安EX支架,只,11700.0,1.0,11700,
2024-12-28,安EX导磁环,只,18000.0,0.18,3240,
2025-12-31,16510B点焊支架,套,12000.0,1.35,16200.000000000002,7365
2025-12-31,,,,,200421,
2025-01-02,1033支架,套,3000.0,0.87,2610,7366
2025-01-02,12362支架,只,9850.0,0.9,8865,
2025-01-07,13373B点焊支架,套,24000.0,0.9,21600,7367
2025-01-07,13373B引线支架,套,10000.0,0.8,8000,
2025-01-10,16510B点焊支架,套,7200.0,1.35,9720,7368
2025-01-13,14510点焊支架,套,5300.0,1.45,7685,7369
2025-01-13,面板插脚,只,224000.0,0.073,16351.999999999998,
2025-01-13,13373B点焊支架,套,24000.0,0.9,21600,
2025-01-13,13373B引线支架,套,12000.0,0.8,9600,
2025-01-19,RAU支架,只,10000.0,0.28,2800.0000000000005,18291
2025-01-19,13373B点焊支架,套,16000.0,0.9,14400,
2025-01-20,1033支架,只,680.0,0.87,591.6,18292
2025-01-20,0545彩锌支架,套,3000.0,1.9,5700,
2025-01-20,,,,,129523.6,
2025-02-11,16510B点焊支架,套,12000.0,1.35,16200.000000000002,18381
2025-02-18,16510B点焊支架,套,8000.0,1.35,10800,18382
2025-02-18,13373B点焊支架,套,13000.0,0.9,11700,
2025-02-18,安EX支架,只,18000.0,1.0,18000,
2025-02-18,安EX导磁环,只,36000.0,0.18,6480,
2025-02-19,DMF 支架,套,10000.0,0.85,8500,18383
2025-02-20,16510B点焊支架,套,10000.0,1.35,13500,18385
2025-02-22,16510B点焊支架,套,9600.0,1.35,12960,18386
2025-02-26,13373B点焊支架,套,16000.0,0.9,14400,18387
2025-02-27,13373B点焊支架,套,8000.0,0.9,7200,18388
2025-02-27,,,,,119740,
2025-03-01,16510B点焊支架,套,8000.0,1.35,10800,8390
2025-03-03,13373引线支架,套,10000.0,0.8,8000,18293
2025-03-03,16510B点焊支架,套,8000.0,1.35,10800,
2025-03-07,13373B点焊支架,套,21300.0,0.9,19170,8391
2025-03-07,16510B点焊支架,套,12000.0,1.35,16200.000000000002,
2025-03-10,12362支架,只,15000.0,0.9,13500,8294
2025-03-10,紫铜插针,只,11800.0,0.4,4720,
2025-03-13,16510B点焊支架,套,12000.0,1.35,16200.000000000002,8295
2025-03-13,13373B点焊支架,套,20000.0,0.9,18000,
2025-03-14,安EX支架,只,5230.0,1.0,5230,8296
2025-03-14,安EX导磁环,只,10000.0,0.18,1800,
2025-03-14,09252支架,只,4500.0,0.26,1170,
2025-03-18,018支架+接地脚,套,12000.0,1.1,13200.000000000002,8392
2025-03-18,DMF支架,套,6500.0,0.85,5525,
2025-03-20,AB410支架组件,套,6000.0,1.13,6779.999999999999,8393
2025-03-20,AB410引线支架+盖板,套,4750.0,0.98,4655,
2025-03-20,13373B引线支架,只,10000.0,0.8,8000,
2025-03-20,AB410导磁环平,只,11000.0,0.11,1210,
2025-03-20,AB410导磁环凸,只,8000.0,0.11,880,
2025-03-24,BRC彩锌支架,只,3000.0,0.8,2400,8394
2025-03-24,16510B点焊支架,套,12000.0,1.35,16200.000000000002,
2025-03-24,RAU支架（镍）,只,5250.0,0.33,1732.5,
2025-03-24,面板插脚,只,70000.0,0.073,5110,
2025-03-25,1033左右插脚+支架,套,6000.0,0.87,5220,8395
2025-03-28,安EX支架,只,15000.0,1.0,15000,8396
2025-03-28,安EX导磁环,只,30000.0,0.18,5400,
2025-03-28,面板插脚,只,70000.0,0.073,5110,
2025-03-30,13373B点焊支架,只,20000.0,0.9,18000,8397
2025-03-31,面板插脚,只,40000.0,0.073,2920,8398
2025-03-31,,,,,242932.5,
2025-04-03,13373B点焊支架,套,17600.0,0.9,15840,8399
2025-04-08,0545内外点焊支架,套,5990.0,1.9,11381,
2025-04-08,BRC支架,套,10000.0,0.8,8000,
2025-04-08,13D点焊支架,只,2000.0,1.0,2000,
2025-04-08,HY-B导磁环,只,5000.0,0.1,500,
2025-04-08,面板插脚,只,150000.0,0.073,10950,
2025-04-10,13373B点焊支架,套,14400.0,0.9,12960,8401
2025-04-13,DMF支架,套,5000.0,0.85,4250,8402
2025-04-13,13373B点焊支架,套,16000.0,0.9,14400,
2025-04-13,13373B引线支架,套,15000.0,0.8,12000,
2025-04-16,AB410支架,套,4000.0,1.13,4520,8403
2025-04-16,16510B点焊支架,套,12000.0,1.35,16200.000000000002,
2025-04-17,13373B点焊支架,套,13600.0,0.9,12240,8404
2025-04-21,16510B点焊支架,套,16800.0,1.35,22680,8405
2025-04-21,13373B点焊支架,套,24000.0,0.9,21600,
2025-04-23,13373B点焊支架,套,14400.0,0.9,12960,8406
2025-04-23,安EX支架,套,16000.0,1.0,16000,
2025-04-23,安EX导磁环,只,32000.0,0.18,5760,
2025-04-24,12362支架插片,套,10000.0,0.9,9000,8297
2025-04-24,12362插片,只,14000.0,0.13,1820,
2025-04-27,紫铜插针,只,2000.0,0.4,800,8298
2025-04-27,13373B点焊支架,套,12000.0,0.9,10800,
2025-04-27,16510B点焊支架,套,4000.0,1.35,5400,
2025-04-27,1545点焊支架,只,200.0,1.25,250,
2025-04-30,16510B点焊支架,套,12000.0,1.35,16200.000000000002,
2025-04-30,,,,,248511,不开票金额223659.9
2025-05-04,16438点焊支架,套,4675.0,1.9,8882.5,8407
2025-05-04,16510B点焊支架,套,8000.0,1.35,10800,
2025-05-07,13373B引线支架,套,10000.0,0.8,8000,8300
2025-05-07,16510B点焊支架,套,12000.0,1.35,16200.000000000002,
2025-05-07,13373B点焊支架,套,8000.0,0.9,7200,
2025-05-12,AB410导磁环,只,5000.0,0.12,600,8408
2025-05-12,AB410支架盖板,套,10000.0,1.13,11299.999999999998,
2025-05-12,3.2纯铁宝德支架,只,6670.0,1.2,8004,
2025-05-12,面板插脚,只,20000.0,0.073,1460,
2025-05-13,紫铜插针,只,8500.0,0.4,3400,8409
2025-05-13,13373B点焊支架,套,14400.0,0.9,12960,
2025-05-15,0545导磁环,只,2000.0,0.3,600,8301
2025-05-16,018支架,套,10000.0,1.1,11000,8302
2025-05-16,13373B点焊支架,套,16000.0,0.9,14400,
2025-05-16,1033支架+接地脚,套,5000.0,0.87,4350,
2025-05-19,13373B点焊支架,套,10000.0,0.9,9000,8410
2025-05-19,3.2纯铁宝德支架,只,11600.0,1.2,13920,
2025-05-21,13373B点焊支架,套,16000.0,0.9,14400,8303
2025-05-22,002铁壳+上下盖板,套,6320.0,2.3,14535.999999999998,8304
2025-05-23,13373B点焊支架,套,16000.0,0.9,14400,8305
2025-05-23,面板插脚,只,200000.0,0.073,14599.999999999998,
2025-05-24,018支架,只,5270.0,1.1,5797.000000000001,8306
2025-05-24,09252支架AC刻字,只,3900.0,0.28,1092,
2025-05-26,16510B点焊支架,套,10000.0,1.35,13500,8308
2025-05-29,13373B引线支架,套,12000.0,0.8,9600,8309
2025-05-29,13373B点焊支架,套,16000.0,0.9,14400,
2025-05-29,16510B点焊支架,套,10000.0,1.35,13500,
2025-05-29,,,,,257901.5,
2025-06-02,16510B点焊支架,套,10000.0,1.35,13500,8310
2025-06-07,16510B点焊支架,套,12000.0,1.35,16200.000000000002,8311
2025-06-07,13383支架,只,5000.0,0.86,4300,
2025-06-07,0545内外支架(纯铁）,套,600.0,1.9,1140,
2025-06-07,13373B点焊支架,套,10000.0,0.9,9000,
2025-06-10,13373B点焊支架,套,14400.0,0.9,12960,8312
2025-06-10,09252支架 AC,只,800.0,0.28,224.00000000000003,
2025-06-13,09525支架 AC,只,5230.0,0.28,1464.4,8313
2025-06-13,AB410支架组件,套,5000.0,1.18,5900,
2025-06-13,13373B点焊支架,只,12000.0,0.9,10800,
2025-06-17,HY-C-RG卡式带孔点焊支架,套,2000.0,1.45,2900,8314
2025-06-17,0545纯铁点焊支架,套,5000.0,1.9,9500,
2025-06-17,13373B点焊支架,套,9000.0,0.9,8100,
2025-06-20,16510B点焊支架,套,10000.0,1.35,13500,8315
2025-06-20,13373B点焊支架,套,12000.0,0.9,10800,
2025-06-20,安EX支架,只,16000.0,1.0,16000,
2025-06-20,12362支架,只,4570.0,0.9,4113,
2025-06-20,安EX导磁环,只,32000.0,0.18,5760,
2025-06-23,安EX支架,只,7700.0,1.0,7700,8316
2025-06-23,安EX导磁环,只,15400.0,0.18,2772,
2025-06-23,12362支架  插脚,套,15050.0,0.9,13545,
2025-06-23,12362 插脚,只,35000.0,0.11,3850,
2025-06-23,卡式支架点焊反工,,,,600,
2025-06-25,13373B点焊支架,套,8800.0,0.9,7920,8317
2025-06-25,1545点焊支架,只,2460.0,1.45,3567,
2025-06-25,防爆CY123蓝白锌支架,只,1280.0,1.1,1408,
2025-06-26,面板插脚,只,130000.0,0.073,9490,8319
2025-06-26,018支架 接地脚,套,18000.0,1.1,19800,
2025-06-30,13373B点焊支架,套,10600.0,0.9,9540,
2025-06-30,,,,,226353.4,
2025-07-02,13373B点焊支架,套,14400.0,0.9,12960,7601
2025-07-05,13373B点焊支架,套,12800.0,0.9,11520,7602
2025-07-05,12362支架,套,16700.0,0.9,15030,
2025-07-07,1545点焊支架,只,400.0,1.45,580,7603
2025-07-09,1545点焊支架,只,4400.0,1.45,6380,7604
